Title,Name,Ratings,Review
Lovely bike,10 months ago by Amgoth Suresh,5,"Buying experience is awesome, riding performance is great than oil bikes, coming to looks it's very pretty like sports bike, good servicing and maintenance by showroom. I very thankful to my brother who gave me suggestion to buy the electric bike revolt rv400 and now i also suggested to people to buy electric bikes. Thank you."
Rv400 good & bad,1 year ago by Vipin Tyagi,4,"Rv400 is good e-bike we are sharing with you our good and bad experience, bike pickup look like petrol bike, led lamp is give us best vision in night, average is good no daily petrol tension.Bad experience- no central stand, no option for leg guard, siting no comfortable, cover should be on belt, foot rest is not best."
No more fut futt futtt,1 year ago by Mr Smarty Pants,2,"The biggest issue before going electric is range and performance. The bike is below mediocre in both. Stated  range of 100 km is not enough. If we travel 30km to and fro add to it the loss of inefficiency we are staring at 70-80 kms range which would put battery to its limits since stated range is always far fetched. Now lets add realistic assumptions. 1-the sub tropical climate of india with scorching summers of 40+ radically affects battery life and range over years. We are starting at 70% efficiency within 2-3 years at best. Though the decline after initial fall would be slower. Typical reason why most manufacturers prefer liquid cooling for battery. If they don’t for cost savings, stay away for you will pay in future. 2-the battery life also depends on its peak charge and its lower extremity over repeated use. Maintaining a charge of 80% as max would be suitable most of the time and so for downsides of 20% that limits the battery charge usable to 60% for regular days.  60% of 100km - inflated statement (assume 20%) - 2-3 years degradation  We are already staying at range of 40-60 kms depending on individuals driving habits and use case. I would happily pay a premium for electric is performance parameters are atleast at par with regular bikes from range to top-speed. I fully understand the economics under play and rate of returns and current bikes of range 100-150 are not worth it. Add to it their limited to speed and rigidity. Waiting for 4th gen products. Remember what happened with smart phones. We barely recall what first few generations looked like until they are good enough to attract our attention. Till that time let’s enjoy the last of this smoking hot barrels."
Revolt...,1 year ago by Yogesh,4,"Booked on 5th oct and got on Dhanteras, very nice experience and riding is like a sport bike pick up is great. Looks decent and battery performance us very good. Service and maintenance is not done as bike is run only 100 km. ProsEco friendlyDouble disk brakesNice pickup GearlessVery good ride control.No petrol expensesConsLimited rideCharging timeCharger carrying."
Super bike.,1 year ago by Divy,5,It's amazing bike. all type of service are nice. Look is better then all other bike. Pollution free bike and more grater than petrol bikes. RV400 bike is more Features than other Electric bike. It's key is very good. It's remote control bike.
Exceptional review,1 year ago by Sridhar,5,"This is simply amazing and exceptionally well and good. The price seems to be little bit high when compare to its features. I have fully satisfied with the stylish in two variant colors. It would be more better if you can add one more gray color. I believe, this going be rocking henceforth step into the market."
Rock and roll,1 year ago by Rakesh,5,"Battery life is good, I like this bike very much. no tension of refueling. In city riding it is the best I have ever seen. The special about this bike is 7 year battery makes trusted vehicle. It is the first even electric bike. Performance are as per below 1. At maximum speed limit of 42 km/hrs. Total range 140 km. 2. At maximum speed limit of 60 km/hrs. Total range 95 km. 3.at maximum Speed limit of 80 km./hrs. Total range 80 km"
Revolt RV 400 Review,1 year ago by Nitesh Mewada,5,I seen this bike on road. Very nice bike and good for drive and no pollution .This bike pollution free this is very good . My dream buy this bike .This bike all city drive and very good for highway . I am very excited for buy this bike .My dream this bike buy and drive comfortable and so good bike.
Piece of shit. Would highly recommend not to,1 year ago by Alex,1,"I have a rv400  I have the bike for almost more than a year now, never ever the bike gave me an average of more than 70 kms in a single full charge, I hardly get 65 kms on mode 1. Informed the same to the service center, they asked me to swap the battery, done it many times still the problem continues on and on no matter what the bike never gave me an average of more than 70 whereas I ride on mode one itself."
Revolt 400,1 year ago by Simangsha Boro,3,Buying experience of Revolt 400 bike. It is usually in Tamulpur Assam. About looks and performance its good but am looking forward to service and maintenance.
A blessing for daily commuters.,10 months ago by Scripted Tales,5,"We'll, this bike will meet the interests of many Indians, in many factors, excluding a few like riding range and speed. But still, if you're daily riding range is less than 130-120 kms and able to maintain an idle speed of 60 to 70 km/h, then this bike will serve you the best. In terms of braking, combined braking system is provided and it's performing just as much as required. Ergonomics are good, comfort factor is well prioritized by the makers. The bluetooth connectivity is an interesting element which grabs the attention of the youth. Although there are plenty of features on the app which are necessary in the present day, but the throttle sound feature was awesome. That's the feature which makes the bike special when compared to the other ev's in the nation. In terms of electrical vehicles it's worthy to get a new bike as early as possible. The main reason is, governments are encouraging, fuel prices are peaking (even if they get back to normal, prices will rise in the near future), and it's always good to get adapted with the changes. At last this bike provides all the features similar to a 150cc naked bike, apart from the ride range and gearing feel."
Royal revolt,2 years ago by Vishnu Pj,5,"Best bike. It is a royal bike,feels like young and energetic, very comfortable and good safety. My dream: revolt. Revolt is my love. Can silencer change bike. Superb royal bike.Best performance. King of roads. Energy saving, pollution free bike. King of electric bikes till now. Mother of all the present bikes."
Value for money  !!!,10 months ago by Pankaj Pamnani,5,Value for money.  Really a thumbs up for the bike as petrol prices have gone up this bike is like a game changer for bike lovers its performance looks and running cost of bike are really impressive and now when government is giving subsidy everyone should change their bike to RV 400.Its simply the best.
Battery protection required,9 months ago by Arjun,4,"Please give protection to the battery, because once my neighbor was searching for his battery, someone stole his battery from parking. There is no protection to the battery given by the company so please understand."
A great bike  but a big problem..............,6 months ago by Dev,4,"First of all , it's a great bike for daily use , you will not have any problem if you are going to use it for traveling daily 30 to 40 kms , but when it comes to weight it is a little more but we have to compromise it to have a great motor power. It was not available for a month near my residence but I got it after 1 month so you can call the supplier and book it 15 days beforehand. The colors are awesome and performance is good , so if you are a adult or able to adjust to a 100kg bike then you should consider it."
Worst customer service,5 months ago by Zuhayr,1,"Very very bad customer service.... Booked revolt 9 months ago!!!! and still have not received the vehicle... And not response from the company.... Called more than 10 times... And no response.... They say it will be delivered the coming week but it has been 9 months and nothing is done and after booking they ask another 15,000 saying it's being upgraded... Not worth the time and effort. Look somewhere else..."
Pathetic response from revolt,4 months ago by Anil,1,Wanna buy this bike so i gave basic information to the company to get response but only fraudsters calls me in the name of revolt for online fraud so there's a data leakage also besides this i've changed my mind to buy this after reading reviews of owners and company response.Pathetic response from revolt.
Go green ebikes,4 months ago by Ashish Khatiyan,5,E bike look is so so so amazing. We does not have a bike but i show a video which is very epic. E bike look like or feel like ktm. The bounce point is this bike feels like a pro  Its an eco friendly bike. E bike does not harm the environment.
Best ev bike,4 months ago by Ravi Teja,5,"The price of the vehicle is very good it's in offer able price.You get a feel of riding a sports bike.It looks as a sports bike, when you move on the road all public eyes will be on your bike.Best part of it is, it has 4 kinds of sports sound you can add any sounds you like.Smooth, fastSuper ev bike."
Horrible and pathetic approch my revolt.,4 months ago by Jillu,1,Absolutely terrible as no one in revolt is responding to the query and the wait till still continues after 7 months? sarcastic and going on booking further orders to accumulate crores and there is no word on the delivery. Customer service never responds to any queries and the dealership is all the more pathetic that they do not just care about the customers and their requests.
